ms	gs	fb	wmt	xom	msft	nke
36.75	196.84	83.62	78.03	86.88	42.64	100.29
36.96	198.1	83.09	78.14	87.24	42.9	99.99
36.75	197.35	80.78	77.88	86.93	41.62	98.55
37.36	200.21	82.31	79.24	87.73	42.16	99.9
37.39	201.1	82.7	79.74	88.08	42.26	99.83
36.84	197.72	83.52	80.15	86.63	41.65	99.53
36.3	195.58	83.01	80.29	85.34	41.76	99.27
36.24	195.64	82.04	80.65	85.56	41.72	99.97
36.64	194.89	82.17	80.84	84.65	41.48	100.72
36.26	192.56	82.28	81.03	84.06	41.42	100.84
35.94	192.39	82.32	80.5	85.75	41.53	99.61
35.91	192.05	82.44	80.99	85.13	41.54	99.73
36.06	191.55	81.56	80.73	84.3	40.29	99.66
35.97	192.23	81.66	80.71	84.46	40.72	99.55
35.69	187.97	82.22	82.25	85	40.66	100.33
36.31	191.02	83.2	82.53	85.63	40.96	100.89
35.83	188.06	83.3	81.35	83.58	40.97	99.88
35.62	187.24	83.01	81.89	84.32	41.21	99.33
35.45	187.35	82.92	81.32	84.86	41.46	98.99
36.24	191.28	85.31	83.05	84.52	42.9	100.65
36.31	191.96	84.43	83.31	85.43	42.86	101.46
36.5	193.13	83.8	83.24	84.54	42.88	101.98
36.11	189.97	82.75	81.52	84.41	42.28	98.32
36.73	192.32	80.91	82.53	86.07	42.5	97.51
36.55	190.57	79.36	82.62	84.08	41.7	96.54
36.73	191.9	78.07	83.29	84.76	41.56	96.44
36.35	189.34	78.05	81.9	83.87	41.38	95.81
37.09	189.95	78.93	81.9	84.22	41.02	97.04
34.95	184.18	77.57	80.69	84.02	41.98	95.34
34.88	182.71	77.55	82.07	84.26	42.03	96.51
35.67	187.93	79.44	82.88	85.16	42.85	97.43
35.53	186.91	80	82.59	85.63	42.36	96.91
35.52	190.08	81.21	83.57	86.74	43.11	98.46
35.09	189.67	80.9	82.58	87.18	43.06	97.52
35.82	191.27	79.6	83.37	87.62	43.28	97.97
36.24	191.79	79.75	83.96	88.04	43.88	98.75
35.79	189.79	78.97	83.93	88.54	43.85	97.12
36.06	192.2	80.41	83.8	88.65	44.06	96.99
36.59	191.72	79.56	83.57	89.6	43.99	96.82
36.74	192.22	78.45	84.57	89.42	44.09	95.42
36.27	190.31	78.84	84.6	89.01	44.15	95.01
36.74	191.51	79.9	84.3	89.92	43.86	94.93
36.33	189.11	79.42	83.52	89.44	43.5	93.7
36.37	188.67	76.71	86.29	91.01	43.53	93.62
36.92	190.02	75.6	85.96	93.05	43.58	91.86
36.78	189	75.74	85.81	93.37	43.87	92.04
36.9	189.78	76.23	85.89	92.37	43.09	92
